frame_number,timestamp,landmark_index,landmark_name,x,y,z,visibility,confidence
0,0,0,nose,0.445309639,0.2678426504,-0.1457094252,0.999717772,0.999858737
0,0,1,left_eye_inner,0.4409508705,0.2618613243,-0.1293099672,0.9995040894,0.9998139739
0,0,2,left_eye,0.4398985207,0.261673063,-0.1293080151,0.9993564487,0.9998000264
0,0,3,left_eye_outer,0.4384803474,0.2614702284,-0.129290089,0.9995319843,0.9997751117
0,0,4,right_eye_inner,0.4393930435,0.2621335983,-0.1734829992,0.9995684028,0.9998310804
0,0,5,right_eye,0.4373970628,0.2621328235,-0.1736479253,0.9995020628,0.9998345375
0,0,6,right_eye_outer,0.4351894557,0.2621310055,-0.173690021,0.9996283054,0.9998268485
0,0,7,left_ear,0.4222785532,0.2640327811,-0.03834761679,0.998208642,0.99975425
0,0,8,right_ear,0.4187328815,0.2649687231,-0.2340086401,0.9993752837,0.9997965693
0,0,9,mouth_left,0.4419477284,0.2745397687,-0.1066629067,0.9992755055,0.9996823072
0,0,10,mouth_right,0.4400073886,0.2741883397,-0.1635793895,0.9993883371,0.9997439981
0,0,11,left_shoulder,0.4076716602,0.302600503,0.1041196883,0.9993712306,0.9996751547
0,0,12,right_shoulder,0.3987134993,0.3044643998,-0.3219388425,0.9998813868,0.9998581409
0,0,13,left_elbow,0.4161081314,0.3552244604,0.1497860551,0.1014264971,0.999325633
0,0,14,right_elbow,0.4109060168,0.35854882,-0.3737657368,0.9836081862,0.9993020296
0,0,15,left_wrist,0.440105319,0.3977685571,0.03878173605,0.1687865704,0.9986945987
0,0,16,right_wrist,0.4440994561,0.4042151868,-0.3392773569,0.9409422874,0.9987456799
0,0,17,left_pinky,0.4436581433,0.4132122099,0.02432491258,0.1742178649,0.9982863069
0,0,18,right_pinky,0.4487175047,0.416864723,-0.3844896853,0.9028635025,0.9981635213
0,0,19,left_index,0.4435175359,0.4134838581,-0.01061627548,0.1790836602,0.9983580709
0,0,20,right_index,0.4517246485,0.4170177281,-0.382390976,0.8980628848,0.9983270764
0,0,21,left_thumb,0.4417384267,0.4071705043,0.01803029515,0.181721732,0.9984592199
0,0,22,right_thumb,0.4508921802,0.4128622115,-0.3374057114,0.8599738479,0.9985721111
0,0,23,left_hip,0.4147009254,0.3974156976,0.1325702816,0.9993102551,0.9997650981
0,0,24,right_hip,0.4023464024,0.3970606923,-0.1322677135,0.9997231364,0.9998617172
0,0,25,left_knee,0.406883806,0.4657722712,0.2287046015,0.3306494355,0.9993956089
0,0,26,right_knee,0.4015437067,0.4726458192,-0.08492962271,0.9454029799,0.9995594621
0,0,27,left_ankle,0.3957414329,0.5355143547,0.3444979489,0.6495547295,0.9995176792
0,0,28,right_ankle,0.3915859163,0.5412481427,0.02469055727,0.9481573701,0.9993566871
0,0,29,left_heel,0.3827914596,0.5463372469,0.3490663171,0.7045097351,0.9992388487
0,0,30,right_heel,0.3792919815,0.5538685322,0.02979272604,0.8970749378,0.9989868999
0,0,31,left_foot_index,0.4463111162,0.5433119535,0.2687074244,0.7779166102,0.9992233515
0,0,32,right_foot_index,0.4428057373,0.5519688725,-0.07682413608,0.9435027838,0.9987419248
6,0.2,0,nose,0.4509516954,0.2700657547,-0.1207652912,0.9997643828,0.9999015331
6,0.2,1,left_eye_inner,0.447974503,0.2632966042,-0.1055219546,0.9996138215,0.9998664856
6,0.2,2,left_eye,0.4471211433,0.262999624,-0.1055062488,0.9994934797,0.9998600483
6,0.2,3,left_eye_outer,0.4460164607,0.2626286745,-0.1054852903,0.9996415377,0.9998444319
6,0.2,4,right_eye_inner,0.4465341866,0.2634929717,-0.1520325691,0.9996317625,0.999868989
6,0.2,5,right_eye,0.4448814094,0.263372004,-0.1521896124,0.9995576739,0.9998673201
6,0.2,6,right_eye_outer,0.4429490864,0.263196826,-0.1522212774,0.9996718168,0.9998556376
6,0.2,7,left_ear,0.4291389883,0.2638324201,-0.01681585796,0.9986114502,0.9998362064
6,0.2,8,right_ear,0.4264958799,0.2650534213,-0.2230992168,0.9994280934,0.999827981
6,0.2,9,mouth_left,0.4470711946,0.2759292126,-0.08180894703,0.9993923903,0.9997870326
6,0.2,10,mouth_right,0.4449708462,0.2755247951,-0.141837582,0.9994339347,0.9998107553
6,0.2,11,left_shoulder,0.4017630219,0.2988004088,0.1274397522,0.9995766282,0.9998072982
6,0.2,12,right_shoulder,0.4052336812,0.3013717532,-0.3164917827,0.9999144077,0.9999011755
6,0.2,13,left_elbow,0.4074727595,0.3554454446,0.1803634912,0.09937822074,0.9995023012
6,0.2,14,right_elbow,0.4166482687,0.3590036929,-0.3700552285,0.9852596521,0.9994583726
6,0.2,15,left_wrist,0.4344360828,0.3985769749,0.0734154731,0.17161569,0.9991101623
6,0.2,16,right_wrist,0.4464685023,0.4036283791,-0.3258803189,0.9498066902,0.9990388155
6,0.2,17,left_pinky,0.44203493,0.4130187631,0.06221013516,0.1776034087,0.9987996817
6,0.2,18,right_pinky,0.4511348903,0.4167092144,-0.3698268831,0.9144392014,0.9985378981
6,0.2,19,left_index,0.4424307942,0.4147358835,0.02632236667,0.1828473806,0.998865962
6,0.2,20,right_index,0.4533715546,0.4169301093,-0.3638965786,0.9096916914,0.9987051487
6,0.2,21,left_thumb,0.4404826164,0.4084781408,0.05243120342,0.1870092154,0.9989439845
6,0.2,22,right_thumb,0.4526745379,0.4126731753,-0.3221527338,0.8732427955,0.998909831
6,0.2,23,left_hip,0.4069071114,0.3977605104,0.1356454194,0.9993647933,0.9998245835
6,0.2,24,right_hip,0.4050835073,0.3983864188,-0.1353857517,0.9997512698,0.9998978376
6,0.2,25,left_knee,0.4026538134,0.4667395353,0.2308461517,0.3651469946,0.9995648265
6,0.2,26,right_knee,0.4011726081,0.4722534418,-0.07802269608,0.9461260438,0.9996774197
6,0.2,27,left_ankle,0.3957306743,0.5350422263,0.3498917818,0.671841979,0.9996147156
6,0.2,28,right_ankle,0.3899102807,0.5406268239,0.0397311151,0.9508332014,0.9994866848
6,0.2,29,left_heel,0.3823946416,0.5473185182,0.354991138,0.7191252708,0.999387145
6,0.2,30,right_heel,0.3760885894,0.5540489554,0.04553673789,0.9038290381,0.9992062449
6,0.2,31,left_foot_index,0.4444137216,0.5434095263,0.2787941694,0.7956501245,0.9993732572
6,0.2,32,right_foot_index,0.444229722,0.5501513481,-0.05667139962,0.9454156756,0.9989675283
12,0.4,0,nose,0.4826441705,0.274181813,-0.1693956852,0.9990880489,0.9995936751
12,0.4,1,left_eye_inner,0.4786510468,0.2680159211,-0.1532927603,0.9985579848,0.9995375872
12,0.4,2,left_eye,0.4770800173,0.2677830458,-0.1533489972,0.9982554317,0.9995392561
12,0.4,3,left_eye_outer,0.4752589762,0.2675444484,-0.1534010023,0.9988025427,0.9995174408
12,0.4,4,right_eye_inner,0.4782449007,0.2682291865,-0.2009103596,0.9985120893,0.99952209
12,0.4,5,right_eye,0.4764992893,0.2681511641,-0.201071322,0.9982153177,0.999515295
12,0.4,6,right_eye_outer,0.4745746255,0.2680483758,-0.2011484951,0.9987063408,0.9994770885
12,0.4,7,left_ear,0.4562226832,0.2688087821,-0.06139872968,0.994803369,0.9995627999
12,0.4,8,right_ear,0.4575077593,0.2699047327,-0.2716392875,0.9972568154,0.9994453788
12,0.4,9,mouth_left,0.4763645828,0.2802162766,-0.129547745,0.9974527955,0.9994260073
12,0.4,10,mouth_right,0.4760805964,0.2806883752,-0.1908375323,0.9978868365,0.9994559884
12,0.4,11,left_shoulder,0.4212707281,0.3025211394,0.09303117543,0.9991563559,0.9997708201
12,0.4,12,right_shoulder,0.429410696,0.3051370978,-0.3720359504,0.9997649789,0.9998237491
12,0.4,13,left_elbow,0.4000530243,0.3567427099,0.1482195407,0.06674017757,0.9992817044
12,0.4,14,right_elbow,0.4156834185,0.3618980944,-0.4329533577,0.9574078918,0.9989820123
12,0.4,15,left_wrist,0.4190227389,0.4022186399,0.03783182427,0.1090629101,0.9983502626
12,0.4,16,right_wrist,0.4349065125,0.4087488055,-0.3827867508,0.8775752783,0.9980463982
12,0.4,17,left_pinky,0.424362272,0.4175235927,0.0271035675,0.1159132719,0.9980492592
12,0.4,18,right_pinky,0.4396563172,0.4212721586,-0.4297671914,0.8202824593,0.9976638556
12,0.4,19,left_index,0.4230828583,0.4179136455,-0.01242186688,0.1196804568,0.9980897307
12,0.4,20,right_index,0.4419834912,0.4218075275,-0.4206879437,0.8134486675,0.9978646636
12,0.4,21,left_thumb,0.4177058637,0.4126923978,0.0150192501,0.1230507791,0.9981186986
12,0.4,22,right_thumb,0.4415630996,0.4174209237,-0.3783346117,0.7519190311,0.9980387092
12,0.4,23,left_hip,0.3804989457,0.4001732171,0.1475342065,0.9994170666,0.9999046326
12,0.4,24,right_hip,0.379095912,0.4017542899,-0.1471889317,0.9997563958,0.9999352694
12,0.4,25,left_knee,0.4102858305,0.4619882703,0.2709691823,0.3747018576,0.999607861
