participant_id,trial_slot,trial_name,condition,is_empty,hip_flexion_right_mean,hip_flexion_right_median,hip_flexion_right_std,hip_flexion_right_variance,hip_flexion_right_maximum,hip_flexion_right_minimum,hip_flexion_right_rom,hip_flexion_right_time_to_peak,hip_flexion_left_mean,hip_flexion_left_median,hip_flexion_left_std,hip_flexion_left_variance,hip_flexion_left_maximum,hip_flexion_left_minimum,hip_flexion_left_rom,hip_flexion_left_time_to_peak,knee_flexion_right_mean,knee_flexion_right_median,knee_flexion_right_std,knee_flexion_right_variance,knee_flexion_right_maximum,knee_flexion_right_minimum,knee_flexion_right_rom,knee_flexion_right_time_to_peak,knee_flexion_left_mean,knee_flexion_left_median,knee_flexion_left_std,knee_flexion_left_variance,knee_flexion_left_maximum,knee_flexion_left_minimum,knee_flexion_left_rom,knee_flexion_left_time_to_peak,ankle_angle_right_mean,ankle_angle_right_median,ankle_angle_right_std,ankle_angle_right_variance,ankle_angle_right_maximum,ankle_angle_right_minimum,ankle_angle_right_rom,ankle_angle_right_time_to_peak,ankle_angle_left_mean,ankle_angle_left_median,ankle_angle_left_std,ankle_angle_left_variance,ankle_angle_left_maximum,ankle_angle_left_minimum,ankle_angle_left_rom,ankle_angle_left_time_to_peak,hip_flexion_rom_absolute_difference,hip_flexion_rom_percent_difference,hip_flexion_rom_symmetry_index,knee_flexion_rom_absolute_difference,knee_flexion_rom_percent_difference,knee_flexion_rom_symmetry_index,ankle_angle_rom_absolute_difference,ankle_angle_rom_percent_difference,ankle_angle_rom_symmetry_index
23,3,DJ_t3,nonfatigued,False,54.61134019,44.99372725,23.14142816,535.5256973,82.02796095,15.04724662,66.98071433,4.108,56.36923648,49.88541397,22.39875593,501.7042672,82.31130717,15.59345517,66.717852,4.072,52.49317117,47.4864946,36.3232651,1319.379588,97.27942714,0.45894566,96.82048148,2.812,54.12289782,53.34055298,36.8230559,1355.937446,103.8735405,0.70748083,103.1660597,2.816,11.11426827,13.11972641,25.46034156,648.2289922,36.04484065,-39.4089943,75.45383495,2.776,12.27891073,14.11424105,26.20796093,686.8572163,38.78534355,-39.12343684,77.90878039,2.808,0.26286233,0.393216378,-0.393216378,6.34557819,6.34600524,6.34600524,2.45494544,3.20149136,3.20149136
23,4,f_DJ_t1,fatigued,False,56.96731544,44.22298297,24.54383454,602.3998138,89.46254548,-2.2414141,91.70395958,2.504,57.17444258,42.47771785,24.0850631,580.0902644,89.31166745,-2.20567257,91.51734002,2.504,52.33673157,32.66089686,36.98165256,1367.642626,100.4771631,1.72412239,98.75304072,2.504,51.28286863,31.47634011,38.75870684,1502.237356,101.5311303,0.76512193,100.7660083,2.564,9.200514216,7.92376129,26.60343009,707.7424928,37.31238013,-39.19507344,76.50745357,1.532,7.819081501,4.13314106,26.57751104,706.3640931,36.80071445,-38.93057981,75.73129426,2.56,0.18661956,0.20370946,-0.20370946,2.01296763,2.017819992,2.017819992,0.77615931,1.019660659,-1.019660659
23,5,f_DJ_t2,fatigued,False,60.34603195,42.88212949,25.89170627,670.3804533,95.19975587,-3.88791271,99.08766858,2.848,58.80978525,41.14446723,27.13999799,736.5794908,94.17375253,-3.49110611,97.66485864,3.228,50.37546163,37.43439785,33.74796777,1138.925329,93.34514718,1.50961023,91.83553695,2.796,48.6662131,32.42255984,36.29411578,1317.26284,93.81247428,0.67177371,93.14070057,2.796,7.069069575,4.18357006,23.06321633,531.9119475,36.23583961,-39.32745252,75.56329213,1.712,7.836088338,2.50412834,24.28847167,589.929856,37.86034927,-38.91534836,76.77569763,1.712,1.42280994,1.446293941,-1.446293941,1.30516362,1.411168956,1.411168956,1.2124055,1.591720546,1.591720546
23,6,f_DJ_t3,fatigued,False,59.7618561,55.92881179,28.91836297,836.2717167,95.28272586,-5.48819868,100.7709245,2.62,61.39796632,59.38027772,28.14402,792.085862,96.05722291,-5.39545632,101.4526792,2.608,52.00757061,53.10152475,32.83293758,1078.00179,96.65318848,0.42269918,96.2304893,2.524,50.05736925,53.11072276,34.37202452,1181.43607,96.88314546,0.53161971,96.35152575,2.456,8.580668023,17.75320118,23.56041852,555.0933208,37.75539834,-39.37006262,77.12546096,1.568,7.353689585,15.67342871,23.42545421,548.7519049,35.06737188,-39.09146215,74.15883403,2.504,0.68175469,0.6742582738,0.6742582738,0.12103645,0.1256986017,0.1256986017,2.96662693,3.921923198,-3.921923198
24,1,DJ_t1,nonfatigued,False,74.43880366,95.5065324,30.69005434,941.8794351,103.1606143,18.46334488,84.69726938,1.592,74.03338255,95.47523635,30.49203217,929.7640261,101.2656475,19.09173168,82.17391577,1.588,68.15936148,85.7751983,30.55269713,933.467302,96.21200208,1.22473798,94.9872641,1.476,67.36455717,85.41066455,30.99098694,960.4412714,95.61625624,0.23496561,95.38129063,0.444,15.18229473,24.28920418,17.28161728,298.6542958,29.46788106,-34.85098352,64.31886458,0.456,15.17882817,24.88096007,18.65753783,348.1037178,32.32130612,-38.53560237,70.85690849,0.464,2.52335361,3.024313164,-3.024313164,0.39402653,0.4139617812,0.4139617812,6.53804391,9.673395996,9.673395996
24,2,DJ_t2,nonfatigued,False,76.42428701,99.5939069,33.7318367,1137.836807,108.6401539,11.63389139,97.00626252,0.832,76.07847569,96.94702504,31.36719401,983.90086,107.4289167,14.87373534,92.55518141,0.832,69.14653088,87.56858311,30.88869842,954.11169,100.8750356,1.84444365,99.03059199,0.792,67.86185933,86.08824502,30.54288336,932.8677241,98.03594176,0.28990115,97.74604061,0.796,15.68137588,25.34600048,17.97345794,323.0451905,30.07225082,-38.45986768,68.5321185,1.804,15.52993146,28.06928708,21.50332754,462.3930952,32.28501256,-39.33806163,71.62307419,1.932,4.45108111,4.696188231,-4.696188231,1.28455138,1.305593416,-1.305593416,3.09095569,4.410761572,4.410761572
24,3,DJ_t3,nonfatigued,False,49.30306173,38.45043448,38.67211064,1495.532142,107.1462824,5.67948111,101.4668013,2.756,49.42831365,41.47649296,35.93933186,1291.635575,105.0704052,8.61636174,96.45404351,2.756,45.90407078,33.73023833,30.47751336,928.8788208,101.269966,2.07039172,99.19957432,2.772,46.76039971,36.48373745,28.57763292,816.6811031,101.9334477,0.74597802,101.1874697,2.772,7.653705133,9.85914063,17.05265207,290.7929427,29.59743523,-38.90352515,68.50096038,3.832,6.90540178,9.257772155,17.9371621,321.7417844,30.59961264,-39.36615248,69.96576512,2.816,5.01275777,5.065416708,-5.065416708,1.98789533,1.984055746,1.984055746,1.46480474,2.115749809,2.115749809
24,4,f_DJ_t1,fatigued,False,58.70683986,44.08772978,32.27667998,1041.784071,98.69960398,22.29403251,76.40557147,3.42,58.44883572,43.03644384,31.27661581,978.2266966,97.82914468,22.86100879,74.96813589,2.228,53.05623819,41.39352555,27.79362613,772.4856536,96.67730844,2.25640396,94.42090448,2.216,52.44144937,42.71321846,26.63065465,709.191767,95.80499613,0.42940311,95.37559302,2.224,10.18602484,13.01185745,18.13881357,329.0165578,31.96797302,-38.77526709,70.74324011,3.148,7.908727576,12.43016838,18.45249441,340.4945501,29.36985549,-39.11882602,68.48868151,2.28,1.43743558,1.899187917,-1.899187917,0.95468854,1.006012811,1.006012811,2.2545586,3.238565659,-3.238565659
24,5,f_DJ_t2,fatigued,False,59.1010282,49.61241777,39.93547192,1594.841918,107.1300333,12.22244405,94.90758925,1.872,60.1639956,47.73483209,38.1903988,1458.506561,105.6890904,16.55288393,89.13620643,1.856,56.4770113,48.26812757,32.82659444,1077.585302,96.73172842,0.51682957,96.21489885,1.904,57.6417151,51.58537254,31.16968377,971.5491866,96.06611202,0.38668855,95.67942347,1.912,12.23999836,13.3078421,16.12846271,260.1273095,28.58467441,-32.77955486,61.36422927,2.832,9.809171403,11.87494953,17.01937721,289.6592006,26.41924457,-38.67705031,65.09629488,2.016,5.77138282,6.271749394,-6.271749394,0.53547538,0.5580940317,-0.5580940317,3.73206561,5.902340885,5.902340885
24,6,f_DJ_t3,fatigued,False,42.59769999,19.56026007,41.85601799,1751.926242,105.6805964,-6.28540367,111.9660001,3.412,42.98127823,23.54361405,40.28174611,1622.61907,104.1978684,-4.21353296,108.4114013,3.412,44.2673832,27.21962655,33.0208763,1090.378272,102.3263508,0.44322144,101.8831293,3.388,45.55102218,28.94622743,32.86723465,1080.255114,102.8815854,0.1344186,102.7471668,3.388,8.42247511,7.00940053,16.79703533,282.1403958,29.37523724,-39.11781449,68.49305173,4.368,8.670624502,7.73339897,17.55959721,308.3394541,29.8617855,-39.29287716,69.15466266,4.372,3.55459874,3.225919461,-3.225919461,0.8640375,0.8444863896,0.8444863896,0.66161093,0.9613104481,0.9613104481
