participant_id,feature,value,percentile,z_score,population_mean,population_std,population_p05,population_p95
13,ankle_angle_right_mean,12.76317063,66.66666667,0.3334616904,11.30765116,4.364877626,6.031583317,19.6699665
13,ankle_angle_right_median,20.00137299,69.04761905,0.5991172705,14.68441205,8.874658099,1.699773326,30.180022
13,ankle_angle_right_std,22.78917644,85.71428571,0.8706586826,20.24460012,2.922587646,15.95205911,23.83693313
13,ankle_angle_right_variance,520.1651119,85.71428571,0.788700818,420.250671,126.6823093,255.7600318,574.6472506
13,ankle_angle_right_maximum,36.38523582,52.38095238,0.2774660005,35.57036248,2.936840335,30.43103622,39.45644899
13,ankle_angle_right_minimum,-39.49864512,11.9047619,-0.6437607345,-36.49346289,4.668166396,-39.60625251,-26.17739181
13,ankle_angle_right_rom,75.88388094,78.57142857,0.7789549358,72.06382537,4.904077751,61.79383538,77.42536338
13,ankle_angle_right_time_to_peak,2.865333333,61.9047619,0.3175158845,2.684333333,0.5700502206,1.776766667,3.5716
13,ankle_angle_left_mean,14.94468239,80.95238095,0.8721417857,10.8622742,4.680899663,4.921064716,19.35867698
13,ankle_angle_left_median,23.46557232,85.71428571,1.051641296,14.1992814,8.811265745,0.1653877979,28.52074437
13,ankle_angle_left_std,22.39592836,90.47619048,0.8670829815,20.16576497,2.572029941,16.56103953,23.38453921
13,ankle_angle_left_variance,502.5471165,90.47619048,0.7883259424,415.0687134,110.9673022,280.360821,549.5266457
13,ankle_angle_left_maximum,38.21872558,78.57142857,0.9817780157,35.03987723,3.237848373,29.99237917,39.53063124
13,ankle_angle_left_minimum,-39.09280673,35.71428571,-0.5305125242,-36.95740769,4.025162346,-39.56823865,-28.47722769
13,ankle_angle_left_rom,77.31153231,92.85714286,1.288852985,71.99728492,4.123237832,65.12568043,77.72454506
13,ankle_angle_left_time_to_peak,2.791333333,64.28571429,0.143846159,2.701936508,0.6214752343,1.777066667,3.7781
13,hip_flexion_rom_absolute_difference,4.1641687,83.33333333,1.158712816,2.62856937,1.325263092,0.9921981075,5.017669331
13,hip_flexion_rom_percent_difference,6.640318843,95.23809524,1.801491676,3.17279792,1.92480541,1.316163704,6.585546825
13,hip_flexion_rom_symmetry_index,-6.640318843,7.142857143,-1.73645535,-0.8539276343,3.332300603,-6.555737511,4.524216274
13,knee_flexion_rom_absolute_difference,1.123666505,11.9047619,-1.177245391,2.208549779,0.92154387,1.074725839,3.917801934
13,knee_flexion_rom_percent_difference,1.271076228,14.28571429,-0.9417209099,2.309873671,1.103084186,1.019599953,4.521016599
13,knee_flexion_rom_symmetry_index,-0.3778103125,50,-0.08936551631,-0.1840459121,2.168223363,-3.60112927,2.858499223
13,ankle_angle_rom_absolute_difference,1.427651373,21.42857143,-0.6889641305,2.587193817,1.68302295,0.5933290985,5.120282477
13,ankle_angle_rom_percent_difference,1.866040212,21.42857143,-0.710037456,3.683862132,2.560177501,0.7660448634,7.564692367
13,ankle_angle_rom_symmetry_index,1.866040212,73.80952381,0.4412416125,-0.01690833512,4.267386606,-5.409418999,7.525522899
14,hip_flexion_right_mean,43.50777043,40.47619048,-0.3380806654,46.96279442,10.21952553,29.60955121,65.42251943
14,hip_flexion_right_median,26.34984761,16.66666667,-1.076537511,44.82419602,17.16089614,19.68786743,72.79453112
14,hip_flexion_right_std,36.32152271,69.04761905,0.6496128506,31.7558809,7.028250461,21.45963996,40.48387594
14,hip_flexion_right_variance,1323.380653,66.66666667,0.5897794938,1066.574183,435.4279397,461.3552501,1651.29061
14,hip_flexion_right_maximum,104.8601354,85.71428571,1.139492321,92.32795922,10.99803482,75.24228414,110.9507531
14,hip_flexion_right_minimum,1.672720812,50,-0.1939966335,4.154237154,12.79154333,-11.20591856,25.63397615
14,hip_flexion_right_rom,103.1874147,78.57142857,0.8264311075,88.17372207,18.16690157,60.53165345,115.8425729
14,hip_flexion_right_time_to_peak,2.808666667,45.23809524,-0.09466874141,2.870777778,0.6560889073,1.940433333,3.9253
14,hip_flexion_left_mean,43.92120966,45.23809524,-0.2962651856,46.83602905,9.838548489,31.27212202,61.14325678
14,hip_flexion_left_median,27.08921401,14.28571429,-1.051106755,44.74661409,16.79886461,20.41214415,72.8239368
14,hip_flexion_left_std,35.25179768,64.28571429,0.5504625066,31.37637343,7.040305575,21.68037581,40.18973938
14,hip_flexion_left_variance,1246.891379,64.28571429,0.4819928655,1042.907635,423.2090542,471.8252583,1629.736534
14,hip_flexion_left_maximum,104.9621953,88.0952381,1.188605704,91.76613148,11.10213735,72.85001949,110.6525973
14,hip_flexion_left_minimum,2.991904953,54.76190476,-0.09876814163,4.244707905,12.68428191,-12.18806141,26.10407559
14,hip_flexion_left_rom,101.9702903,78.57142857,0.7973165379,87.52142357,18.12187009,59.96098216,113.9574424
14,hip_flexion_left_time_to_peak,2.809333333,42.85714286,-0.1445011942,2.908888889,0.6889600885,1.939333333,3.972166667
14,knee_flexion_right_mean,45.59628298,35.71428571,-0.3394225665,48.36279826,8.150652165,34.25748793,61.92464809
14,knee_flexion_right_median,31.06040341,16.66666667,-0.9161512462,47.64388864,18.10125271,15.29774867,74.18898471
14,knee_flexion_right_std,40.67693739,92.85714286,1.331496534,33.84870503,5.128238933,24.68270204,40.79429638
14,knee_flexion_right_variance,1656.784988,92.85714286,1.420239172,1178.254242,336.9367325,617.3491928,1665.268991
14,knee_flexion_right_maximum,110.8204668,88.0952381,1.14791895,101.0619943,8.501011781,87.04514771,113.9979418
14,knee_flexion_right_minimum,0.585260045,28.57142857,-0.6025454621,2.524596296,3.218572495,0.2145443871,8.194787181
14,knee_flexion_right_rom,110.2352067,88.0952381,1.177437659,98.53739797,9.934970804,84.16702773,112.6054897
14,knee_flexion_right_time_to_peak,2.773333333,64.28571429,0.257124658,2.62231746,0.5873255182,1.7506,3.598433333
14,knee_flexion_left_mean,44.78255261,33.33333333,-0.4506793234,48.43971868,8.114785563,33.63350373,61.00422305
14,knee_flexion_left_median,28.13512213,16.66666667,-1.102261722,47.89711624,17.92858603,16.40968798,72.95943467
14,knee_flexion_left_std,38.79603051,88.0952381,1.067402663,33.58650042,4.880566887,24.5563235,39.23053588
14,knee_flexion_left_variance,1507.278611,85.71428571,1.106546007,1158.119529,315.5395973,605.7165074,1548.529399
14,knee_flexion_left_maximum,108.1879502,80.95238095,0.8077430788,100.9967562,8.90282342,86.83236063,114.2425415
14,knee_flexion_left_minimum,0.4731660833,23.80952381,-0.7252178759,2.596176364,2.927410302,0.2436452429,7.836275029
14,knee_flexion_left_rom,107.7147841,83.33333333,0.9123716127,98.40057987,10.20878351,80.96740316,112.9447906
14,knee_flexion_left_time_to_peak,2.771333333,66.66666667,0.2707327795,2.610031746,0.5957962961,1.6359,3.6062
14,ankle_angle_right_mean,13.07666216,73.80952381,0.4052830702,11.30765116,4.364877626,6.031583317,19.6699665
14,ankle_angle_right_median,5.699962411,21.42857143,-1.012371355,14.68441205,8.874658099,1.699773326,30.180022
14,ankle_angle_right_std,22.33337427,80.95238095,0.7147002592,20.24460012,2.922587646,15.95205911,23.83693313
14,ankle_angle_right_variance,499.2163337,80.95238095,0.6233361487,420.250671,126.6823093,255.7600318,574.6472506
14,ankle_angle_right_maximum,38.61190019,85.71428571,1.035649666,35.57036248,2.936840335,30.43103622,39.45644899
14,ankle_angle_right_minimum,-37.12625026,71.42857143,-0.1355537298,-36.49346289,4.668166396,-39.60625251,-26.17739181
14,ankle_angle_right_rom,75.73815045,76.19047619,0.7492387491,72.06382537,4.904077751,61.79383538,77.42536338
14,ankle_angle_right_time_to_peak,2.909333333,69.04761905,0.3947020664,2.684333333,0.5700502206,1.776766667,3.5716
14,ankle_angle_left_mean,14.98401544,83.33333333,0.8805446668,10.8622742,4.680899663,4.921064716,19.35867698
