feature,count,missing_count,missing_percent,mean,median,std,min,q1,q3,max,iqr,skewness,kurtosis
ankle_angle_right_time_to_peak,249,9,3.488372093,2.681108434,2.656,0.8357676463,0.264,2.148,3.232,5.872,1.084,0.1030109898,0.8207428846
ankle_angle_left_mean,249,9,3.488372093,10.91868733,10.30483781,5.095012992,-0.2404341216,6.969617771,14.85119983,23.54235242,7.881582059,0.3479911284,-0.4700952695
ankle_angle_left_median,249,9,3.488372093,14.33830945,12.43016838,10.94211072,-7.30268824,6.21858701,23.25354938,39.38762515,17.03496237,0.2269182424,-0.9466191452
ankle_angle_left_std,249,9,3.488372093,20.18426403,20.09372059,2.91044377,11.13063018,18.15935414,21.77586181,31.2024107,3.61650767,0.659738373,1.554860254
ankle_angle_left_variance,249,9,3.488372093,415.8751973,403.7576073,123.9368719,123.8909281,329.7621428,474.1881577,973.5904332,144.4260149,1.313555446,3.388610522
ankle_angle_left_maximum,249,9,3.488372093,35.0893353,35.52860212,3.439876466,26.34707669,32.3867802,38.2103262,39.73131627,5.823546,-0.4050182796,-0.9443295494
ankle_angle_left_minimum,249,9,3.488372093,-36.93045489,-38.87294072,4.18999335,-39.72444374,-39.29018562,-37.08683679,-19.90252767,2.20334883,2.135357723,4.176008933
ankle_angle_left_rom,249,9,3.488372093,72.01979019,72.41152813,4.408677462,59.60890774,69.19400649,75.57010873,79.39118079,6.37610224,-0.5716498487,-0.1578151254
ankle_angle_left_time_to_peak,249,9,3.488372093,2.695036145,2.62,0.9317115069,0.336,2.196,3.128,8.428,0.932,1.050937507,5.601070418
hip_flexion_rom_absolute_difference,249,9,3.488372093,2.631764221,2.13535143,2.168602751,0.01162432,1.0260303,3.56987885,19.37190705,2.54384855,2.344052499,13.25318928
hip_flexion_rom_percent_difference,249,9,3.488372093,3.185849466,2.521623491,2.859468136,0.01294553277,1.248338613,4.381613349,23.47866349,3.133274736,2.421175622,10.98904662
hip_flexion_rom_symmetry_index,249,9,3.488372093,-0.8390409841,-0.8681227671,4.197881021,-23.47866349,-2.836315895,1.836091225,9.008071955,4.67240712,-0.8729718633,3.359475394
knee_flexion_rom_absolute_difference,249,9,3.488372093,2.210276581,1.86896054,1.673927229,0.00113721,0.88409942,3.1755754,9.64811685,2.29147598,1.134531587,1.639854031
knee_flexion_rom_percent_difference,249,9,3.488372093,2.313923121,1.875888294,1.864678258,0.001140478475,0.8882596667,3.176913102,13.2025213,2.288653435,1.578318403,4.59208963
knee_flexion_rom_symmetry_index,249,9,3.488372093,-0.1718948796,0.1305471948,2.966768843,-13.2025213,-1.875888294,1.84451358,6.34600524,3.720401874,-0.6111176137,1.078458355
ankle_angle_rom_absolute_difference,249,9,3.488372093,2.58852082,2.11472744,2.263827388,0.01209372,0.94441024,3.41689661,13.05628703,2.47248637,1.680326548,3.676528076
ankle_angle_rom_percent_difference,249,9,3.488372093,3.686260514,3.035896004,3.362342378,0.01524488443,1.329977051,4.802200404,19.49810846,3.472223353,1.8095629,4.094098316
ankle_angle_rom_symmetry_index,249,9,3.488372093,0.02487344831,-0.3786327378,4.989312995,-17.49904682,-3.30896221,2.535203456,19.49810846,5.844165666,0.6526311641,1.902594314
